Index;Land ;Land_EN;Einwohner;Gesamtfläche;Bevölkerungsdichte*;Landfläche;Bevölkerungsdichte*
1;Afghanistan;Afghanistan;36.643.815 ;652.230 km²;56;652.230 km²;56
2;Ägypten;Egypt;104.124.440 ;1.001.450 km²;104;995.450 km²;105
3;Akrotiri;Akrotiri;15.700 ;123 km²;128;123 km²;128
4;Albanien;Albania;3.074.579 ;28.748 km²;107;27.398 km²;112
5;Algerien;Algeria;42.972.878 ;2.381.741 km²;18;2.381.741 km²;18
7;Amerikanische Jungferninseln;Virgin Islands (U.S.);106.235 ;1.910 km²;56;346 km²;307
6;Amerikanisch-Samoa;American Samoa;49.437 ;199 km²;248;199 km²;248
8;Andorra;Andorra;77.000 ;468 km²;165;468 km²;165
9;Angola;Angola;32.522.339 ;1.246.700 km²;26;1.246.700 km²;26
10;Anguilla;Anguilla;18.090 ;91 km²;199;91 km²;199
12;Antigua und Barbuda;Antigua and Barbuda;98.179 ;443 km²;222;443 km²;222
13;Äquatorialguinea;Equatorial Guinea;836.178 ;28.051 km²;30;28.051 km²;30
14;Argentinien;Argentina;45.479.118 ;2.780.400 km²;16;2.736.690 km²;17
15;Armenien;Armenia;3.021.324 ;29.743 km²;102;28.203 km²;107
16;Aruba;Aruba;119.428 ;180 km²;663;180 km²;663
18;Aserbaidschan;Azerbaijan;10.205.810 ;86.600 km²;118;86.100 km²;119
19;Äthiopien;Ethiopia;108.113.150 ;1.104.300 km²;98;1.000.000 km²;108
20;Australien;Australia;25.466.459 ;7.741.220 km²;3;7.682.300 km²;3
21;Bahamas;Bahamas;337.721 ;13.880 km²;24;10.010 km²;34
22;Bahrain;Bahrain;1.505.003 ;760 km²;1980;741 km²;2031
23;Bangladesch;Bangladesh;162.650.853 ;143.998 km²;1130;130.168 km²;1250
24;Barbados;Barbados;294.560 ;430 km²;685;430 km²;685
267;Weißrußland;Belarus;9.477.918 ;207.600 km²;46;207.600 km²;46
25;Belgien;Belgium;11.720.716 ;30.528 km²;384;30.278 km²;387
26;Belize;Belize;399.598 ;22.966 km²;17;22.806 km²;18
27;Benin;Benin;12.864.634 ;112.622 km²;114;110.622 km²;116
28;Bermuda;Bermuda;71.750 ;54 km²;1329;54 km²;1329
29;Bhutan;Bhutan;782.318 ;38.394 km²;20;38.394 km²;20
30;Bolivien;Bolivia;11.639.909 ;1.098.581 km²;11;1.083.301 km²;11
31;Bonaire;Bonaire;18.413 ;288 km²;64;288 km²;64
32;Bosnien und Herzegovina;Bosnia and Herzegovina;3.835.586 ;51.197 km²;75;51.187 km²;75
33;Botsuana;Botswana;2.317.233 ;581.730 km²;4;566.730 km²;4
35;Brasilien;Brazil;211.715.973 ;8.514.877 km²;25;8.459.417 km²;25
36;Britische Jungferninseln;Virgin Islands (British);37.381 ;151 km²;248;151 km²;248
39;Brunei Darussalam;Brunei Darussalam;464.478 ;5.765 km²;81;5.265 km²;88
40;Bulgarien;Bulgaria;6.966.899 ;110.879 km²;63;108.489 km²;64
41;Burkina Faso;Burkina Faso;20.835.401 ;274.200 km²;76;273.800 km²;76
42;Burundi;Burundi;11.865.821 ;27.830 km²;426;25.650 km²;463
43;Cabo Verde;Cabo Verde;583.255 ;4.033 km²;145;4.033 km²;145
44;Chile;Chile;18.186.770 ;756.102 km²;24;743.812 km²;24
45;China;China;1.394.015.977 ;9.596.961 km²;145;9.326.410 km²;149
46;Cookinseln;Cook Islands;8.574 ;236 km²;36;236 km²;36
47;Costa Rica;Costa Rica;5.097.988 ;51.100 km²;100;50.660 km²;101
48;Côte d'Ivoire;Ivory Coast;27.481.086 ;322.463 km²;85;318.003 km²;86
49;Curaçao;Curacao;151.345 ;444 km²;341;444 km²;341
50;Dänemark;Denmark;5.869.410 ;43.094 km²;136;42.394 km²;138
52;Deutschland;Germany;80.159.662 ;357.022 km²;225;348.672 km²;230
53;Dhekelia;Dhekelia;15.700 ;131 km²;120;131 km²;120
54;Dominica;Dominica;74.243 ;751 km²;99;751 km²;99
55;Dominikanische Republik;Dominican Republic;10.499.707 ;48.670 km²;216;48.320 km²;217
56;Dschibuti;Djibouti;921.804 ;23.200 km²;40;23.180 km²;40
57;Ecuador;Ecuador;16.904.867 ;283.561 km²;60;276.841 km²;61
58;El Salvador;El Salvador;6.481.102 ;21.041 km²;308;20.721 km²;313
59;Eritrea;Eritrea;6.081.196 ;117.600 km²;52;101.000 km²;60
60;Estland;Estonia;1.228.624 ;45.228 km²;27;42.388 km²;29
61;Falklandinseln;Falkland Islands;3.198 ;12.173 km²;0;12.173 km²;0
62;Färöer;Faroe Islands;51.628 ;1.393 km²;37;1.393 km²;37
63;Fidschi;Fiji;935.974 ;18.274 km²;51;18.274 km²;51
64;Finnland;Finland;5.571.665 ;338.145 km²;16;303.815 km²;18
65;Frankreich;France;67.848.156 ;643.801 km²;105;640.427 km²;106
67;Französisch-Polynesien;French Polynesia;295.121 ;4.167 km²;71;3.660 km²;81
69;Gabun;Gabon;2.230.908 ;267.667 km²;8;257.667 km²;9
70;Gambia;Gambia;2.173.999 ;11.295 km²;192;10.000 km²;217
71;Gazastreifen;Gaza Strip;1.918.221 ;360 km²;5328;360 km²;5328
72;Georgien;Georgia;3.997.000 ;69.700 km²;57;69.700 km²;57
73;Ghana;Ghana;29.340.248 ;238.533 km²;123;227.533 km²;129
74;Gibraltar;Gibraltar;29.581 ;7 km²;4226;7 km²;4551
75;Grenada;Grenada;113.094 ;344 km²;329;344 km²;329
76;Griechenland;Greece;10.607.051 ;131.957 km²;80;130.647 km²;81
77;Grönland;Greenland;57.616 ;2.166.086 km²;0;2.166.086 km²;0
78;Großbritannien;Great Britain;65.761.117 ;243.610 km²;270;241.930 km²;272
80;Guam;Guam;168.485 ;544 km²;310;544 km²;310
81;Guatemala;Guatemala;17.153.288 ;108.889 km²;158;107.159 km²;160
82;Guernsey;Guernsey;67.052 ;78 km²;860;78 km²;860
83;Guinea;Guinea;12.527.440 ;245.857 km²;51;245.717 km²;51
84;Guinea-Bissau;Guinea-Bissau;1.927.104 ;36.125 km²;53;28.120 km²;69
85;Guyana;Guyana;750.204 ;214.969 km²;3;196.849 km²;4
86;Haiti;Haiti;11.067.777 ;27.750 km²;399;27.560 km²;402
88;Honduras;Honduras;9.235.340 ;112.090 km²;82;111.890 km²;83
89;Hongkong;Hong Kong;7.249.907 ;1.104 km²;6567;1.054 km²;6878
90;Indien;India;1.326.093.247 ;3.287.263 km²;403;2.973.193 km²;446
91;Indonesien;Indonesia;267.026.366 ;1.904.569 km²;140;1.811.569 km²;147
92;Insel Man;Isle of Man;90.499 ;572 km²;158;572 km²;158
93;Irak;Iraq;38.872.655 ;438.317 km²;89;437.367 km²;89
94;Iran;Iran (Islamic Republic of);84.923.314 ;1.648.195 km²;52;1.531.595 km²;55
95;Irland;Ireland;5.176.569 ;70.273 km²;74;68.883 km²;75
96;Island;Iceland;350.734 ;103.000 km²;3;100.250 km²;3
97;Israel;Israel;8.675.475 ;20.770 km²;418;21.642 km²;401
98;Italien;Italy;62.402.659 ;301.340 km²;207;294.140 km²;212
99;Jamaika;Jamaica;2.808.570 ;10.991 km²;256;10.831 km²;259
100;Japan;Japan;125.507.472 ;377.915 km²;332;364.485 km²;344
101;Jemen;Yemen;29.884.405 ;527.968 km²;57;527.968 km²;57
102;Jersey;Jersey;101.073 ;116 km²;871;116 km²;871
103;Jordanien;Jordan;10.820.644 ;89.342 km²;121;88.802 km²;122
104;Kaimaninseln;Cayman Islands;61.944 ;264 km²;235;264 km²;235
105;Kambodscha;Cambodia;16.926.984 ;181.035 km²;94;176.515 km²;96
106;Kamerun;Cameroon;27.744.989 ;475.440 km²;58;472.710 km²;59
107;Kanada;Canada;37.694.085 ;9.984.670 km²;4;9.093.507 km²;4
109;Kasachstan;Kazakhstan;19.091.949 ;2.724.900 km²;7;2.699.700 km²;7
110;Katar;Qatar;2.444.174 ;11.586 km²;211;11.586 km²;211
111;Kenia;Kenya;53.527.936 ;580.367 km²;92;569.140 km²;94
113;Kirgisistan;Kyrgyzstan;5.964.897 ;199.951 km²;30;191.801 km²;31
114;Kiribati;Kiribati;111.796 ;811 km²;138;811 km²;138
116;Kokosinseln;Cocos (Keeling) Islands;596 ;14 km²;43;14 km²;43
117;Kolumbien;Colombia;49.084.841 ;1.138.910 km²;43;1.038.700 km²;47
