Country Name,Country Code,2018
Aruba,ABW,
Afghanistan,AFG,67.1227
Angola,AGO,114.4596
Albania,ALB,
Andorra,AND,4040.7866
Arab World,ARB,345.7894
United Arab Emirates,ARE,1357.0175
Argentina,ARG,1324.6035
Armenia,ARM,407.6359
American Samoa,ASM,
Antigua and Barbuda,ATG,673.8597
Australia,AUS,5331.8179
Austria,AUT,4939.8755
Azerbaijan,AZE,275.8094
Burundi,BDI,23.5004
Belgium,BEL,4507.3564
Benin,BEN,30.7664
Burkina Faso,BFA,44.4035
Bangladesh,BGD,36.2823
Bulgaria,BGR,663.7151
Bahrain,BHR,1127.1863
Bahamas,BHS,1771.5355
Bosnia and Herzegovina,BIH,460.4733
Belarus,BLR,342.4999
Belize,BLZ,280.4988
Bermuda,BMU,
Bolivia,BOL,220.2746
Brazil,BRA,928.7993
Barbados,BRB,1183.8362
Brunei,BRN,671.4115
Bhutan,BTN,96.7993
Botswana,BWA,465.9293
Central African Republic,CAF,24.1501
Canada,CAN,4754.9478
Central Europe and the Baltics,CEB,934.0073
Switzerland,CHE,9956.2598
Channel Islands,CHI,
Chile,CHL,1381.9862
China,CHN,440.8256
Cote d'Ivoire,CIV,69.7492
Cameroon,CMR,67.8118
Democratic Republic of Congo,COD,19.4316
Congo,COG,49.9837
Colombia,COL,459.1976
Comoros,COM,58.7609
Cape Verde,CPV,167.5896
Costa Rica,CRI,869.0778
Caribbean small states,CSS,582.6719
Cuba,CUB,987.6270
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,1731.6945
Czech Republic,CZE,1475.9152
Germany,DEU,5033.4521
Djibouti,DJI,70.3309
Dominica,DMA,439.5945
Denmark,DNK,5800.1514
Dominican Republic,DOM,433.2086
Algeria,DZA,258.4943
East Asia & Pacific (excluding high income),EAP,344.2785
Early-demographic dividend,EAR,169.7400
East Asia & Pacific,EAS,671.0800
Europe & Central Asia (excluding high income),ECA,417.1155
Europe & Central Asia,ECS,2192.4446
Ecuador,ECU,518.0296
Egypt,EGY,105.7685
Euro area,EMU,3761.3367
Eritrea,ERI,32.9120
Spain,ESP,2506.4648
Estonia,EST,1300.4817
Ethiopia,ETH,25.2620
European Union,EUU,3261.4269
Fragile and conflict affected situations,FCS,81.4094
Finland,FIN,4205.7427
Fiji,FJI,188.4143
France,FRA,4379.7271
Faeroe Islands,FRO,
Micronesia. Fed. Sts.,FSM,424.8098
Gabon,GAB,204.4922
United Kingdom,GBR,3858.6743
Georgia,GEO,293.0536
Ghana,GHA,66.7494
Gibraltar,GIB,
Guinea,GIN,33.7201
Gambia,GMB,23.2723
Guinea-Bissau,GNB,52.3594
Equatorial Guinea,GNQ,301.1501
Greece,GRC,1516.5878
Grenada,GRD,497.2361
Greenland,GRL,
Guatemala,GTM,259.9350
Guam,GUM,
Guyana,GUY,230.5273
High income,HIC,5368.5817
Hong Kong,HKG,
Honduras,HND,195.9357
Heavily indebted poor countries (HIPC),HPC,53.2311
Croatia,HRV,902.1396
Haiti,HTI,62.3533
Hungary,HUN,981.4230
IBRD only,IBD,324.7693
IDA & IBRD total,IBT,258.4816
IDA total,IDA,55.5070
IDA blend,IDB,66.3150
Indonesia,IDN,114.9718
IDA only,IDX,49.6358
Isle of Man,IMN,
India,IND,69.2931
Not classified,INX,
Ireland,IRL,4976.8623
Iran,IRN,475.4799
Iraq,IRQ,210.3137
Iceland,ISL,6086.3115
Israel,ISR,3144.6262
Italy,ITA,2840.1306
Jamaica,JAM,307.1960
Jordan,JOR,340.6618
Japan,JPN,4168.9863
Kazakhstan,KAZ,279.6453
Kenya,KEN,76.6103
Kyrgyzstan,KGZ,78.8228
Cambodia,KHM,82.0759
Kiribati,KIR,171.4175
Saint Kitts and Nevis,KNA,902.6590
South Korea,KOR,2283.0747
Kuwait,KWT,1529.0776
Latin America & Caribbean (excluding high income),LAC,653.3859
Laos,LAO,62.1246
