Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.88) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Afghanistan,3.203,3.278,3.129,1.793,0.350,0.517,0.361,0.000,0.158,0.025
Albania,4.719,4.829,4.608,1.461,0.947,0.848,0.874,0.383,0.178,0.027
Algeria,5.211,5.304,5.119,1.992,1.002,1.160,0.785,0.086,0.073,0.114
Argentina,6.086,6.192,5.981,2.096,1.092,1.432,0.881,0.471,0.066,0.050
Armenia,4.559,4.652,4.467,1.398,0.850,1.055,0.815,0.283,0.095,0.064
Australia,7.228,7.315,7.141,2.094,1.372,1.548,1.036,0.557,0.332,0.290
Austria,7.246,7.313,7.179,2.378,1.376,1.475,1.016,0.532,0.244,0.226
Azerbaijan,5.208,5.279,5.136,1.680,1.043,1.147,0.769,0.351,0.035,0.182
Bahrain,6.199,6.324,6.075,1.698,1.362,1.368,0.871,0.536,0.255,0.110
Bangladesh,4.456,4.538,4.373,1.406,0.562,0.928,0.723,0.527,0.166,0.143
Belarus,5.323,5.392,5.253,1.531,1.067,1.465,0.789,0.235,0.094,0.142
Belgium,6.923,6.988,6.858,2.235,1.356,1.504,0.986,0.473,0.160,0.210
Benin,4.883,5.022,4.745,3.049,0.393,0.437,0.397,0.349,0.175,0.082
Bhutan,5.082,5.196,4.969,1.350,0.813,1.321,0.604,0.457,0.370,0.167
Bolivia,5.779,5.876,5.683,2.376,0.776,1.209,0.706,0.511,0.137,0.064
Bosnia and Herzegovina,5.386,5.477,5.296,1.905,0.945,1.212,0.845,0.212,0.263,0.006
Botswana,3.488,3.611,3.365,0.183,1.041,1.145,0.538,0.455,0.025,0.100
Brazil,6.300,6.403,6.197,2.480,1.004,1.439,0.802,0.390,0.099,0.086
Bulgaria,5.011,5.098,4.924,1.195,1.092,1.513,0.815,0.311,0.081,0.004
Burkina Faso,4.587,4.695,4.479,2.275,0.331,1.056,0.380,0.255,0.177,0.113
Burundi,3.775,3.985,3.565,2.325,0.046,0.447,0.380,0.220,0.176,0.180
Cambodia,4.700,4.810,4.589,1.465,0.574,1.122,0.637,0.609,0.232,0.062
Cameroon,5.044,5.170,4.918,2.649,0.549,0.910,0.331,0.381,0.187,0.037
Canada,7.278,7.357,7.200,2.193,1.365,1.505,1.039,0.584,0.285,0.308
Central African Republic,3.083,3.227,2.939,2.456,0.026,0.000,0.105,0.225,0.235,0.035
Chad,4.350,4.484,4.215,2.591,0.350,0.766,0.192,0.174,0.198,0.078
Chile,6.444,6.534,6.354,2.397,1.159,1.369,0.920,0.357,0.187,0.056
China,5.191,5.240,5.141,1.466,1.029,1.125,0.893,0.521,0.058,0.100
Colombia,6.125,6.229,6.020,2.286,0.985,1.410,0.841,0.470,0.099,0.034
Comoros,3.973,4.196,3.749,1.941,0.274,0.757,0.505,0.142,0.275,0.078
Congo (Brazzaville),4.812,4.955,4.668,2.262,0.673,0.799,0.508,0.372,0.105,0.093
Congo (Kinshasa),4.418,4.543,4.293,2.308,0.094,1.125,0.357,0.269,0.212,0.053
Costa Rica,7.167,7.254,7.081,2.933,1.034,1.441,0.963,0.558,0.144,0.093
Croatia,5.432,5.510,5.354,1.660,1.155,1.266,0.914,0.296,0.119,0.022
Cyprus,6.046,6.149,5.942,1.880,1.263,1.223,1.042,0.406,0.190,0.041
Czech Republic,6.852,6.921,6.783,2.636,1.269,1.487,0.920,0.457,0.046,0.036
Denmark,7.600,7.667,7.534,2.393,1.383,1.573,0.996,0.592,0.252,0.410
Dominican Republic,5.425,5.559,5.291,1.519,1.015,1.401,0.779,0.497,0.113,0.101
Ecuador,6.028,6.130,5.925,2.225,0.912,1.312,0.868,0.498,0.126,0.087
Egypt,4.166,4.252,4.079,1.187,0.913,1.039,0.644,0.241,0.076,0.067
El Salvador,6.253,6.362,6.144,2.831,0.794,1.242,0.789,0.430,0.093,0.074
Estonia,5.893,5.965,5.822,1.496,1.237,1.528,0.874,0.495,0.103,0.161
Ethiopia,4.286,4.365,4.206,1.731,0.336,1.033,0.532,0.344,0.209,0.100
Finland,7.769,7.830,7.708,2.714,1.340,1.587,0.986,0.596,0.153,0.393
France,6.592,6.667,6.518,2.021,1.324,1.472,1.045,0.436,0.111,0.183
Gabon,4.799,4.912,4.687,1.596,1.057,1.183,0.571,0.295,0.043,0.055
