Country Name,Country Code,2019
Aruba,ABW,76.1520
Afghanistan,AFG,64.4860
Angola,AGO,60.7820
Albania,ALB,78.4580
Andorra,AND,
Arab World,ARB,71.8068
United Arab Emirates,ARE,77.8140
Argentina,ARG,76.5200
Armenia,ARM,74.9450
American Samoa,ASM,
Antigua and Barbuda,ATG,76.8850
Australia,AUS,82.7488
Austria,AUT,81.6439
Azerbaijan,AZE,72.8640
Burundi,BDI,61.2470
Belgium,BEL,81.5951
Benin,BEN,61.4700
Burkina Faso,BFA,61.1740
Bangladesh,BGD,72.3200
Bulgaria,BGR,74.8659
Bahrain,BHR,77.1630
Bahamas,BHS,73.7520
Bosnia and Herzegovina,BIH,77.2620
Belarus,BLR,74.1756
Belize,BLZ,74.4960
Bermuda,BMU,81.6517
Bolivia,BOL,71.2390
Brazil,BRA,75.6720
Barbados,BRB,79.0810
Brunei,BRN,75.7220
Bhutan,BTN,71.4600
Botswana,BWA,69.2750
Central African Republic,CAF,52.8050
Canada,CAN,81.9488
Central Europe and the Baltics,CEB,77.0132
Switzerland,CHE,83.5512
Channel Islands,CHI,82.9280
Chile,CHL,80.0420
China,CHN,76.7040
Cote d'Ivoire,CIV,57.4220
Cameroon,CMR,58.9210
Democratic Republic of Congo,COD,60.3680
Congo,COG,64.2900
Colombia,COL,77.1090
Comoros,COM,64.1180
Cape Verde,CPV,72.7820
Costa Rica,CRI,80.0950
Caribbean small states,CSS,73.6371
Cuba,CUB,78.7260
Curacao,CUW,78.0171
Cayman Islands,CYM,
Cyprus,CYP,80.8280
Czech Republic,CZE,78.9780
Germany,DEU,80.9927
Djibouti,DJI,66.5820
Dominica,DMA,
Denmark,DNK,81.3512
Dominican Republic,DOM,73.8920
Algeria,DZA,76.6930
East Asia & Pacific (excluding high income),EAP,75.2105
Early-demographic dividend,EAR,70.4842
East Asia & Pacific,EAS,76.0683
Europe & Central Asia (excluding high income),ECA,73.6680
Europe & Central Asia,ECS,77.8802
Ecuador,ECU,76.8000
Egypt,EGY,71.8250
Euro area,EMU,81.9616
Eritrea,ERI,65.9410
Spain,ESP,83.3341
Estonia,EST,78.5439
Ethiopia,ETH,66.2400
European Union,EUU,80.9705
Fragile and conflict affected situations,FCS,61.4957
Finland,FIN,81.8341
Fiji,FJI,67.3410
France,FRA,82.5268
Faeroe Islands,FRO,82.5488
Micronesia. Fed. Sts.,FSM,67.7550
Gabon,GAB,66.1870
United Kingdom,GBR,81.3561
Georgia,GEO,73.6000
Ghana,GHA,63.7800
Gibraltar,GIB,
Guinea,GIN,61.1850
Gambia,GMB,61.7350
Guinea-Bissau,GNB,58.0030
Equatorial Guinea,GNQ,58.4020
Greece,GRC,81.2878
Grenada,GRD,72.3840
Greenland,GRL,70.8488
Guatemala,GTM,74.0630
Guam,GUM,79.8590
Guyana,GUY,69.7740
High income,HIC,80.7283
Hong Kong,HKG,84.9341
Honduras,HND,75.0880
Heavily indebted poor countries (HIPC),HPC,63.1350
Croatia,HRV,78.0707
Haiti,HTI,63.6600
Hungary,HUN,75.8171
IBRD only,IBD,73.4091
IDA & IBRD total,IBT,71.0727
IDA total,IDA,64.2710
IDA blend,IDB,62.2518
Indonesia,IDN,71.5090
IDA only,IDX,65.3044
Isle of Man,IMN,
India,IND,69.4160
Not classified,INX,
Ireland,IRL,82.6073
Iran,IRN,76.4790
Iraq,IRQ,70.4540
Iceland,ISL,82.6610
Israel,ISR,82.8024
Italy,ITA,82.9463
Jamaica,JAM,74.3680
Jordan,JOR,74.4050
Japan,JPN,84.2110
Kazakhstan,KAZ,73.1500
Kenya,KEN,66.3420
Kyrgyzstan,KGZ,71.4000
Cambodia,KHM,69.5700
Kiribati,KIR,68.1160
Saint Kitts and Nevis,KNA,
South Korea,KOR,82.6268
Kuwait,KWT,75.3980
Latin America & Caribbean (excluding high income),LAC,75.2443
Laos,LAO,67.6100
Lebanon,LBN,78.8750
Liberia,LBR,63.7300
Libya,LBY,72.7240
Saint Lucia,LCA,76.0570
Latin America & Caribbean,LCN,75.4390
Least developed countries: UN classification,LDC,65.0396
Low income,LIC,63.7679
Liechtenstein,LIE,83.7463
Sri Lanka,LKA,76.8120
Lower middle income,LMC,68.5449
Low & middle income,LMY,71.0129
Lesotho,LSO,53.7050
Late-demographic dividend,LTE,76.2269
Lithuania,LTU,76.2902
Luxembourg,LUX,82.0951
Latvia,LVA,74.6780
Macao SAR. China,MAC,84.1180
St. Martin (French part),MAF,79.8707
Morocco,MAR,76.4530
Monaco,MCO,
Moldova,MDA,71.8080
Madagascar,MDG,66.6810
Maldives,MDV,78.6270
Middle East & North Africa,MEA,74.0888
Mexico,MEX,74.9920
Marshall Islands,MHL,
Middle income,MIC,71.9131
Macedonia,MKD,75.6880
Mali,MLI,58.8930
Malta,MLT,82.3463
Myanmar,MMR,66.8670
